Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Barbell)",1,40.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Barbell)",2,40.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Barbell)",3,40.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Dumbbell)",1,10.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Dumbbell)",2,10.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Bench Press (Dumbbell)",3,10.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Overhead Press (Dumbbell)",1,8.0,8.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Overhead Press (Dumbbell)",2,8.0,8.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Overhead Press (Dumbbell)",3,8.0,8.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Preacher Curl (Barbell)",1,20.0,5.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Preacher Curl (Barbell)",2,20.0,5.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Preacher Curl (Barbell)",3,20.0,5.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Lat Pulldown (Cable)",1,30.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Lat Pulldown (Cable)",2,30.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Lat Pulldown (Cable)",3,30.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Shoulder Press (Machine)",1,27.5,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Shoulder Press (Machine)",2,27.5,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Shoulder Press (Machine)",3,27.5,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Ab Wheel",1,0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Ab Wheel",2,0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Ab Wheel",3,0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Seated Row (Machine)",1,30.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Seated Row (Machine)",2,30.0,10.0,0,0.0,
2026-04-24 09:40:00,"Upper Body",51m,"Seated Row (Machine)",3,30.0,10.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Squat (Barbell)",1,40.0,12.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Squat (Barbell)",2,50.0,10.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Squat (Barbell)",3,50.0,10.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Squat (Barbell)",4,60.0,8.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Deadlift (Barbell)",1,60.0,5.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Deadlift (Barbell)",2,60.0,5.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Deadlift (Barbell)",3,60.0,5.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Bulgarian Split Squat",1,10.0,20.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Bulgarian Split Squat",2,10.0,20.0,0,0.0,
2026-04-25 10:54:24,"Lower Body",44m,"Bulgarian Split Squat",3,10.0,20.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Squat (Barbell)",1,55.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Squat (Barbell)",2,55.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Squat (Barbell)",3,55.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bench Press (Barbell)",1,42.5,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Deadlift (Barbell)",1,60.0,6.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Deadlift (Barbell)",2,60.0,6.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Deadlift (Barbell)",3,60.0,6.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Lat Pulldown (Cable)",1,27.0,15.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Lat Pulldown (Cable)",2,27.0,15.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Lat Pulldown (Cable)",3,27.0,15.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bench Press (Dumbbell)",1,12.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bench Press (Dumbbell)",2,12.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bench Press (Dumbbell)",3,12.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Ab Wheel",1,0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Ab Wheel",2,0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Ab Wheel",3,0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Preacher Curl (Barbell)",1,21.85,5.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Preacher Curl (Barbell)",2,21.85,5.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Preacher Curl (Barbell)",3,21.85,5.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Overhead Press (Dumbbell)",1,8.0,9.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Overhead Press (Dumbbell)",2,8.0,9.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Overhead Press (Dumbbell)",3,8.0,9.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bulgarian Split Squat",1,12.0,16.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bulgarian Split Squat",2,12.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Bulgarian Split Squat",3,12.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Chest Press (Machine)",1,46.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Chest Press (Machine)",2,46.0,10.0,0,0.0,
2026-04-28 10:36:45,"Total Body",1h 22m,"Chest Press (Machine)",3,46.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Squat (Barbell)",1,57.5,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Squat (Barbell)",2,50.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Squat (Barbell)",3,50.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Barbell)",1,45.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Barbell)",2,45.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Barbell)",3,45.0,8.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Deadlift (Barbell)",1,62.5,6.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Deadlift (Barbell)",2,62.5,4.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Deadlift (Barbell)",3,62.5,4.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Lat Pulldown (Cable)",1,32.0,5.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Lat Pulldown (Cable)",2,32.0,5.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Lat Pulldown (Cable)",3,32.0,5.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Dumbbell)",1,24.0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Dumbbell)",2,24.0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Bench Press (Dumbbell)",3,24.0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Ab Wheel",1,0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Ab Wheel",2,0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Ab Wheel",3,0,11.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Preacher Curl (Barbell)",1,21.85,6.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Preacher Curl (Barbell)",2,21.85,6.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Preacher Curl (Barbell)",3,21.85,6.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Overhead Press (Dumbbell)",1,8.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Overhead Press (Dumbbell)",2,8.0,10.0,0,0.0,
2026-04-30 10:26:36,"Total Body",1h 13m,"Overhead Press (Dumbbell)",3,8.0,10.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Squat (Barbell)",1,55.0,10.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Squat (Barbell)",2,55.0,10.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Squat (Barbell)",3,55.0,10.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Deadlift (Barbell)",1,60.0,6.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Deadlift (Barbell)",2,60.0,6.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Deadlift (Barbell)",3,60.0,6.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Bench Press (Barbell)",1,45.0,10.0,0,0.0,
2026-05-03 11:13:42,"SDB",34m,"Bench Press (Barbell)",2,45.0,10.0,0,0.0,
